City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,harper,4.375,-7.7169,297.32,88,100,5.79,LR,1724791926
225,port douglas,-16.4833,145.4667,295.25,80,17,4.17,AU,1724791928
226,mezhova,48.2532,36.7347,298.44,33,97,4.79,UA,1724791929
227,yung shue wan,22.2333,114.1167,303.01,85,100,5.62,HK,1724791930
228,mawlaik,23.6333,94.4167,296.41,100,59,0.3,MM,1724791931
229,hobyo,5.3505,48.5268,298.39,86,6,10.58,SO,1724791932
230,esmeraldas,-19.7625,-44.3139,294.21,57,1,5.94,BR,1724791933
231,pucheng,27.9233,118.5333,297.43,98,99,1.54,CN,1724791934
232,lihue,21.9789,-159.3672,300.92,71,0,6.69,US,1724791936
233,holmsund,63.706,20.3641,285.9,87,0,2.68,SE,1724791938
234,wailua homesteads,22.0669,-159.378,300.59,75,0,6.69,US,1724791939
235,lerwick,60.1545,-1.1494,285.9,94,100,6.41,GB,1724791940
236,papatowai,-46.5619,169.4708,283.04,88,68,2.66,NZ,1724791941
237,wau,7.7029,27.9953,294.42,92,44,0.53,SS,1724791942
238,naze,28.3667,129.4833,298.66,88,100,19.42,JP,1724791944
239,nianzishan,47.5167,122.8833,288.84,91,100,0.79,CN,1724791945
240,al bardiyah,31.7561,25.0865,299.82,67,0,2.63,LY,1724791946
241,port alfred,-33.5906,26.891,287.69,81,6,4.47,ZA,1724791947
242,le treport,50.0598,1.3758,292.1,63,3,3.09,FR,1724791948
243,port-cartier,50.0334,-66.8654,297.14,62,100,6.2,CA,1724791785
244,saint croix,17.7397,-64.7388,303.4,77,75,6.17,VI,1724791952
245,kayangel,8.0823,134.7173,300.3,81,100,3.77,PW,1724791953
246,shendi,16.6915,33.4341,302.36,58,96,2.61,SD,1724791954
247,kingston,17.997,-76.7936,301.68,79,20,6.17,JM,1724791336
248,ust-nera,64.5667,143.2,276.5,93,100,2.45,RU,1724791956
249,gilgit,35.9221,74.3087,295.89,52,15,2.08,PK,1724791957
250,saint-pierre,-21.3393,55.4781,292.97,73,20,1.54,RE,1724791958
251,luau,-10.7073,22.2247,294.81,22,4,1.62,AO,1724791960
252,manicore,-5.8092,-61.3003,311.21,20,3,1.24,BR,1724791961
253,shindand,33.3029,62.1474,300.68,17,0,3.17,AF,1724791962
254,callao,-12.0667,-77.15,289.31,82,100,4.63,PE,1724791963
255,yoko,5.5333,12.3167,292.15,92,57,0.36,CM,1724791964
256,puerto baquerizo moreno,-0.9,-89.6,295.7,73,75,5.14,EC,1724791965
257,ciudad lazaro cardenas,17.9583,-102.2,303.79,67,33,3.98,MX,1724791966
258,la'ie,21.6477,-157.9253,301.81,70,46,4.47,US,1724791968
259,kaya,13.0917,-1.0844,300.02,74,100,3.85,BF,1724791969
260,san antonio de pale,-1.4014,5.6325,296.67,81,64,5.66,GQ,1724791970
261,ulladulla,-35.35,150.4667,292.56,33,96,10.89,AU,1724791971
262,berezovyy,51.6667,135.7,287.71,96,14,1.55,RU,1724791972
263,rio grande,-32.035,-52.0986,285.78,85,100,3.28,BR,1724791973
264,santa rosa,14.3122,121.1114,299.14,98,99,5.43,PH,1724791780
265,arroyo,41.6096,-4.7969,299.94,34,0,2.57,ES,1724791977
266,kasaragod,12.5,75.0,297.2,91,99,1.95,IN,1724791978
267,dellys,36.9172,3.9131,297.17,75,17,4.23,DZ,1724791979
268,zag,46.9441,99.165,286.59,43,48,1.18,MN,1724791980
269,pimentel,-6.8367,-79.9342,295.31,64,0,7.72,PE,1724791981
270,bida,9.0833,6.0167,296.86,95,90,1.73,NG,1724791982
271,tucurui,-3.7661,-49.6725,303.76,50,79,1.36,BR,1724791984
272,nar'yan-mar,67.6713,53.087,285.06,78,70,5.63,RU,1724791985
273,angren,41.0167,70.1436,291.32,26,3,0.8,UZ,1724791986
274,jinghong,21.991,100.7341,293.84,100,68,0.59,CN,1724791987
275,eureka,40.8021,-124.1637,293.49,77,38,2.24,US,1724791946
276,kavalerovo,44.2661,135.0572,287.73,97,35,1.87,RU,1724791989
277,sosnovo-ozerskoye,52.5249,111.5418,280.85,89,8,3.22,RU,1724791990
278,hamilton,39.1834,-84.5333,310.25,39,0,4.12,US,1724791950
279,vakarai,55.6035,23.8213,287.31,77,4,1.63,LT,1724791993
280,khanbari,27.3747,87.2039,296.82,90,71,1.04,NP,1724791994
281,rikaze,29.25,88.8833,285.45,55,46,1.29,CN,1724791995
282,bulawayo,-20.15,28.5833,291.39,17,0,2.28,ZW,1724791996
283,pauini,-7.7136,-66.9764,308.93,25,2,0.8,BR,1724791997
284,palikir - national government center,6.9248,158.1611,297.56,100,100,1.54,FM,1724791998
285,bahia blanca,-38.7196,-62.2724,286.14,42,2,2.14,AR,1724791752
286,fayroz koh,34.5195,65.2509,285.46,36,0,0.31,AF,1724792001
287,jiangyou,31.7667,104.7167,300.77,74,98,1.69,CN,1724792002
288,dunedin,-45.8742,170.5036,283.04,97,61,3.17,NZ,1724792003
289,hithadhoo,-0.6,73.0833,301.25,78,43,4.13,MV,1724792004
290,rapid city,44.0805,-103.231,298.4,50,0,3.58,US,1724791741
291,kardla,58.9978,22.7492,287.79,88,48,2.74,EE,1724792006
292,upata,8.0086,-62.3989,297.5,90,99,0.46,VE,1724792007
293,mil'kovo,55.6078,37.7956,295.56,64,10,2.33,RU,1724792009
